ID,Lobby ID,Nom,Abréviation,Pays/Région,Type,Secteurs d’activité,Dépenses Lobby (€),Personnes impliquées,Equivalent Temps plein,Réduction 40%,Efficacité énergétique,Gaz de schiste,Energies renouvelables
102,80966174852-38,Oesterreichs Energie,Oesterreichs Energie,Autriche,Association professionnelle,Énergie,549999,6,3.5,,,,
103,64879142323-90,European Chemical Industry Council – Cefic aisbl,CEFIC,Europe,Association professionnelle,Industrie chimique,12100000,78,48.0,,,,
104,255548111478-45,"Swedish Recycling Industries´ Assocation, SRI",Swedish Recycling Industries' Association,Suède,Association professionnelle,Autres industries/intérêts,30000,1,0.25,,,,
105,8111597333-73,Essenscia asbl - Belgian Federation for Chemistry and Life Sciences Industries,ESSENSCIA,Belgique,Association professionnelle,Industrie chimique,549999,9,3.0,,,,
106,,Confindustria,Confindustria,Italie,Association professionnelle,Intérêts privés,75000,NaN,NaN,,,,
107,623798014057-26,Danish Construction Association,Danish Construction Association,Danemark,Association professionnelle,"Construction, immobilier, transports",37499,15,3.75,,,,
108,7705861978-33,Fédérationn Française des Tuiles et Briques,FFTB,France,Syndicat,Matériaux,74999,4,1.25,,OPPOSE,,OPPOSE
109,42433582-82,FORATOM,FORATOM,Europe,Association professionnelle,Énergie,449999,6,3.0,SUPPORT,OPPOSE,,OPPOSE
110,952632114087-19,BWE - German Wind Energy Association,BWE,Allemagne,Association professionnelle,Énergie (principalement renouvelable),20000,1,0.75,SUPPORT,SUPPORT,,SUPPORT
111,374860614091-68,"SveMin, Swedish Association of Mines, Mineral and Metal Producers",SveMin,Suède,Association professionnelle,Matériaux,140000,4,1.25,,,,
112,17909506129-41,EUROGAS,Eurogas,Pays-Bas,Association professionnelle,Énergie,831972,5,3.0,SUPPORT,OPPOSE,SUPPORT,OPPOSE
113,14190001484-01,Industrial Minerals Association Europe,IMA-Europe,Europe,Association professionnelle,Matériaux,74999,3,0.75,,OPPOSE,SUPPORT,OPPOSE
114,15511499334-46,Bundesverband Erneuerbare Energie e.V.,BEE,Allemagne,Association professionnelle,Énergie (principalement renouvelable),17499,1,1.0,SUPPORT,SUPPORT,,SUPPORT
115,394158311340-73,Association of Large Energy Consumers (SVSE),SVSE,République Tchèque,Association professionnelle,Intérêts privés,4999,1,0.25,,,,OPPOSE
116,255859710443-50,Polish Electricity Association - PKEE,PKEE,Pologne,Association professionnelle,Énergie,449999,7,6.0,,,,
117,355702910008-47,Swedish Forest Industries Federation,Swedish Forest Industries Federation,Suède,Association professionnelle,Matériaux,4999,2,0.5,,,,OPPOSE
118,78753091151-50,VNCI - Association of the Dutch Chemical Industry,VNCI,Pays-Bas,Association professionnelle,Industrie chimique,349999,11,2.75,,,,
119,65573757907-62,SKGS - The co-operation of Swedish Energy Intensive Industries,SKGS,Suède,Association professionnelle,Énergie,4999,5,1.5,,,,
120,319496319069-35,Anigas – Associazione Nazionale Industriali Gas,Anigas,Italie,Association professionnelle,Énergie,17499,3,0.75,,,,
121,27993486325-38,PU Europe,PU Europe,Europe,Association professionnelle,"Construction, immobilier, transports",17499,1,0.25,,SUPPORT,,SUPPORT
122,30146663069-53,French Union of Electricity,UFE,France,Association professionnelle,Énergie,249999,3,3.0,,,,
123,1978775156-31,IFIEC Europe - International Federation of Industrial Energy Consumers,IFIEC Europe,Europe,ONG,Énergie,149999,10,4.0,,OPPOSE,SUPPORT,OPPOSE
124,347776811076-78,European Solar Thermal Electricity Association ESTELA,ESTELA,Europe,Association professionnelle,Énergie (principalement renouvelable),349999,3,3.0,,SUPPORT,OPPOSE,SUPPORT
125,9624415524-28,UNIFE - the European Rail Industry,UNIFE,Europe,Association professionnelle,"Construction, immobilier, transports",549999,8,6.5,,,,
126,19736167705-91,DENEFF - German Business Association for Energy Efficiency,DENEFF,Allemagne,Association professionnelle,Énergie,4999,1,0.5,,SUPPORT,,SUPPORT
127,,Swedish Wind Energy Association,Swedish Wind Energy,Suède,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
128,092289314455-70,Climate Market and Investment Associations,CMIA,International,Association professionnelle,Finance,4999,1,0.25,,,,
129,,European Nuclear Energy Forum (ENEF),ENEF,Europe,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
130,780146710855-91,European Lime Association,EuLA,Europe,Association professionnelle,Matériaux,5000,1,0.25,,,,
131,55820581197-35,"EUROPEAN ASSOCIATION OF CRAFT, SMALL AND MEDIUM-SIZED ENTERPRISES",UEAPME,Europe,Association professionnelle,Intérêts privés,1623893,15,15.0,,,,
132,286194516022-33,Fedil- Business Federation Luxembourg,Fedil,Luxembourg,Association professionnelle,Intérêts privés,149999,6,2.75,,,,
133,471593720714-56,World Coal Association,WCA,International,Association professionnelle,Énergie fossiles (sauf gaz),74999,2,0.5,,,,
134,1274604847-34,Confederation of Finnish Industries EK,EK,Finlande,Association professionnelle,Finance,449999,6,3.0,,,,
135,,APER - Associazione Produttori Energia Rinnovabile,assoRinnovabili / APER,Italie,Consultance,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
136,99005441548-23,EuroACE - European Alliance of Companies for Energy Efficiency in Buildings,Euroace,Europe,Association professionnelle,"Construction, immobilier, transports",74999,3,2.5,,,,
137,11458103335-07,"EGEC, the European Geothermal Energy Council",EGEC,Europe,Association professionnelle,Énergie (principalement renouvelable),74999,4,4.0,,,,
138,,Euro Chlor,Euro Chlor,Europe,Association professionnelle,Industrie chimique,NaN,NaN,NaN,,,,
139,550558011475-69,MEW Mittelständische Energiewirtschaft Deutschland e.V.,MEW,Allemagne,Association professionnelle,Énergie fossiles (sauf gaz),4999,2,1.0,,OPPOSE,,OPPOSE
140,561606712956-58,VLAAMSE WINDENERGIE ASSOCIATIE,VWEA,Belgique,Association professionnelle,Énergie (principalement renouvelable),4999,1,0.25,,,,
141,39671713910-36,Finnish Forest Industries Federation,FFIF,Finlande,Association professionnelle,Matériaux,74999,11,3.75,,OPPOSE,,OPPOSE
142,57944346163-37,MARCOGAZ,Marcogaz,Europe,Association professionnelle,Énergie,649999,2,2.0,,,SUPPORT,OPPOSE
143,639259811501-33,Estonian Renewable Energy Association,EREA,Estonie,Association professionnelle,Énergie (principalement renouvelable),4999,1,0.25,,,,
144,20943263315-44,EU-BAC European Building Automation and Controls Association,eu.bac,Europe,Association professionnelle,"Construction, immobilier, transports",149999,4,2.25,,,,
145,00098856602-24,GEODE - The Voice of local Energy Distributors across Europe,GEODE,Europe,ONG,Énergie,549999,4,4.0,,,,
146,79465004946-12,Cerame-Unie- the European Ceramic Industry Association,Cerame-Unie,Europe,Association professionnelle,Matériaux,449999,6,4.5,,,,
147,83425058760-88,Federacciai - Federation of the Italian Steel Companies,Federacciai,Italie,Association professionnelle,Matériaux,149999,2,1.0,,,,
149,07682415745-25,CIFF - Chemical Industry Federation of Finland,CIFF,Finlande,Association professionnelle,Industrie chimique,17499,1,0.25,,,,
150,29528175589-79,APREN – the Portuguese Renewable Energy Association,APREN,Portugal,Syndicat,Énergie (principalement renouvelable),4999,8,6.5,,,,
151,,Association of Chemical Industry of the Czech Republic,SCHP ČR,République Tchèque,Association professionnelle,Industrie chimique,NaN,NaN,NaN,,,,
152,143035111648-31,EMIRI - Energy Materials Industrial Research Initiative,EMIRI,Europe,Association professionnelle,Énergie,149999,2,1.25,,,,
153,4271427696-87,EURELETRIC,EURELECTRIC,Europe,Association professionnelle,Énergie,549999,18,4.5,,,,
154,26207914726-42,Fuelseurope,FuelsEurope,Europe,Association professionnelle,Énergie fossiles (sauf gaz),2374999,15,10.5,,,,
155,9434415651-11,Federation of Norwegian Industries,Federation of Norwegian Industries,Norvège,Autre,Intérêts privés,149999,8,4.0,,OPPOSE,,OPPOSE
157,,Czech Chamber of Commerce,Czech Chamber of Commerce,République Tchèque,Association professionnelle,Intérêts privés,NaN,NaN,NaN,,,,
158,20210641335-88,Orgalime - European Engineering Industries Association,Eunited,Europe,Association professionnelle,Autres industries/intérêts,449999,12,3.75,,,,
159,80003592094-64,"UEPC, European Union of Developers and House Builders",UEPC,Europe,Association professionnelle,"Construction, immobilier, transports",150000,3,0.75,,,,
160,32591134448-30,ePURE - European renewable ethanol industry,Epure,Europe,Association professionnelle,Énergie (principalement renouvelable),349999,5,5.0,,,,
161,1733114388-50,Danish Energy Association,DEA,Danemark,Association professionnelle,Énergie,149999,2,2.0,,,,
162,,EDORA,EDORA,Belgique,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
163,,French Glass Association,FFPV,France,Association professionnelle,Matériaux,NaN,NaN,NaN,,,,
164,,GAREP - Greek Association of RES Electricity Producers,GAREP,Grèce,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
165,454264611835-56,PlasticsEurope,PlasticsEurope,Europe,Association professionnelle,Matériaux,1874999,13,8.0,,,,
166,88403261302-20,"AGFW | Der Energieeffizienzverband für Wärme, Kälte und KWK e. V",AGFW,Allemagne,Association professionnelle,Énergie,149999,4,1.75,,,,
167,92221016212-42,FIEC - The European Construction Industry Federation,FIEC,Europe,Association professionnelle,"Construction, immobilier, transports",449999,4,4.0,,,,
168,97560524441-16,Renewable Energy Association,REA,Royaume-Uni,Association professionnelle,Énergie (principalement renouvelable),17499,4,1.25,,,,
169,77820278284-77,UPRIGAS - Union Professionelle des Industries Privées du Gaz,UPRIGAS,France,Syndicat,Énergie,4999,4,4.0,,,,
170,424387214082-04,"Apetro, the National Oil Industry Association of Portugal",APETRO,Portugal,Association professionnelle,Énergie fossiles (sauf gaz),4999,6,2.5,,,,
171,39912257528-48,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Suède,Association professionnelle,Intérêts privés,649999,16,5.5,,,,
172,66690371529-15,Landwirtschaftskammer Österreich,LK,Autriche,Syndicat,Autres industries/intérêts,37499,10,2.5,,,,
173,78903417544-46,"FEBEG, the Federation of Belgian Electricity and Gas Companies",FEBEG,Belgique,Association professionnelle,Énergie,4999,2,0.5,,OPPOSE,,OPPOSE
174,,Coalpro Confederation of UK Coal Producers Coalpro,CoalPro,Royaume-Uni,Association professionnelle,Énergie fossiles (sauf gaz),NaN,NaN,NaN,,,,
175,,Co-operatives UK,Co-operatives UK ,Royaume-Uni,Association professionnelle,Intérêts privés,NaN,NaN,NaN,,,,
176,1634450483-86,Danish Agriculture & Food Council,DAFC,Danemark,Association professionnelle,Autres industries/intérêts,549999,6,4.75,,,,
177,65035217875-61,Bundesverband der Glasindustrie e.V.,BV Glas,Allemagne,Association professionnelle,Matériaux,4999,6,4.5,,OPPOSE,SUPPORT,OPPOSE
178,13073098010-57,Swedenergy AB,Svensk Energi,Suède,Association professionnelle,Intérêts privés,4999,4,3.0,,,,
179,43763731235-75,MEDEF,MEDEF,France,Association professionnelle,Intérêts privés,649999,12,4.25,,,,
180,826982520594-95,SVEBIO – Swedish Bioenergy Association,Svebio,Suède,Association professionnelle,Énergie (principalement renouvelable),74999,2,0.5,,,,
181,733257915694-82,European Domestic Glass,European Domestic Glass,Europe,Association professionnelle,Matériaux,149999,1,1.0,,,,
182,449131111476-44,UNIONE PETROLIFERA,UP,Italie,Association professionnelle,Énergie fossiles (sauf gaz),70000,NaN,NaN,,,,
183,899865010107-44,European Autoclaved Aerated Concrete Association,EAACA,Europe,Association professionnelle,Matériaux,4999,1,0.25,,,,
184,400886110592-21,Electricity Association of Ireland,EA Ireland,Irlande,Association professionnelle,Énergie,74999,3,0.75,,,,
185,022255314501-32,CIP – Confederation of Portuguese Business,CIP,Portugal,Association professionnelle,Intérêts privés,100000,11,3.5,,,,
186,169439010937-02,Association for District Heating of the Czech Republic (ADHCR),ADH CR,République Tchèque,Association professionnelle,Énergie,4999,1,1.0,,,,
187,479468313744-50,Irish Business and Employers Confederation,Ibec,Irlande,Association professionnelle,Intérêts privés,449999,16,7.5,,,,
188,569379418624-07,Smart Energy Demand Coalition,SEDC,Europe,Entreprise,Énergie,249999,2,2.0,,,,
189,1550133398-72,FEVE - the European Container Glass Federation,FEVE,Europe,Association professionnelle,Matériaux,449999,3,1.5,,,SUPPORT,
190,3954187491-70,International Association of Oil & Gas Producers - OGP,IOGP,International,Association professionnelle,Énergie fossiles (sauf gaz),1750000,9,8.75,,,,
191,42566063487-73,ACI EUROPE (Airports Council International),ACI Europe,Europe,Entité/autorité publique,"Construction, immobilier, transports",2124999,15,11.2,,,,
192,02963738854-41,CONFEDERACIÓN ESPAÑOLA DE ORGANIZACIONES EMPRESARIALES,CEOE,Espagne,Association professionnelle,Intérêts privés,749999,11,4.75,,,,
193,841386910709-86,Assovetro,Assovetro,Italie,Association professionnelle,Matériaux,4999,6,4.5,,,,
194,,MEDGRID,MEDGRID,International,Entreprise,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
195,172134011452-07,Spanish Gas Association (SEDIGAS),SEDIGAS,Espagne,Association professionnelle,Énergie,4999,2,0.5,,,,
196,01816267633-71,Verband der Deutschen Biokraftstoffindustrie,VDB,Allemagne,Association professionnelle,Énergie (principalement renouvelable),4999,3,0.75,,,,
197,702214911454-33,Voka – Vlaams netwerk van ondernemingen,Voka,Belgique,Syndicat,Intérêts privés,74999,6,1.75,,,,
198,981167323458-75,"IG BCE (Industriegewerkschaft Bergbau, Chemie, Energie)",IG BCE,Allemagne,Syndicat,Intérêts des salariés,74999,5,1.75,,,,
199,6025320863-10,ETRMA - European Tyre & Rubber Manufacturers Association,ETRMA,Europe,Association professionnelle,Matériaux,649999,5,3.0,,,,
200,,BDBe (Bundesverband der deutschen Bioethanolwirtschaft),BDBE,Allemagne,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
201,49913771894-86,Industrievereinigung Chemiefaser (IVC),IVC,Allemagne,Association professionnelle,Industrie chimique,4999,1,0.25,,,,
202,34954249295-81,Verband der Industriellen Energie- und Kraftwirtschaft,VIK,Allemagne,Association professionnelle,Énergie,249999,5,1.75,,,,
203,35832214158-18,Wirtschaftskammer Österreich (WKO) Fachverband Steine - Keramik,WKO - Fachverband Steine - Keramik,Autriche,Association professionnelle,Matériaux,4999,1,0.25,,,,
204,10405322962-08,Wirtschaftskammer Österreich (WKO),WKO,Autriche,Entité/autorité publique,Intérêts privés,1874999,25,15.25,,,,
205,09256701147-51,European Builders Confederation EBC,EBC,Europe,Association professionnelle,"Construction, immobilier, transports",314000,5,4.75,,SUPPORT,,
206,595041411471-64,German Biogas Association (GBA),GBA,Allemagne,ONG,Énergie (principalement renouvelable),4999,2,0.75,,SUPPORT,OPPOSE,SUPPORT
207,78601138241-84,DVFG – Deutscher Verband Flüssiggas (German LPG association),DVFG,Allemagne,Association professionnelle,Énergie fossiles (sauf gaz),60000,1,0.25,,,,
208,1420587986-32,Verband Kommunaler Unternehmen (VKU),VKU,Allemagne,Entreprise,Autres industries/intérêts,549999,6,5.25,,,,
209,15423437054-40,Verband der Chemischen Industrie (VCI),VCI,Allemagne,Association professionnelle,Industrie chimique,4124999,79,27.25,,,,
210,33629954785-84,Aussenhandelsverband für Mineralöl und Energie (AFM+E),AFM+E,Allemagne,Association professionnelle,Énergie fossiles (sauf gaz),17499,3,2.5,,,,
211,73085531345-65,Deutscher Bauernverband (DBV) - German Farmers,DBV,Allemagne,Association professionnelle,Autres industries/intérêts,280000,3,2.5,,,,
212,,IG Windkraft - Austrian Windenergy Association,IG Windkraft,Autriche,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
213,460445611477-43,"German Association of water, wastewater and waste (DWA)",DWA,Allemagne,ONG,Énergie,25000,NaN,NaN,,,,
214,00481013843-28,Allianz der öffentlichen Wasserwirtschaft (AöW),AöW,Allemagne,Association professionnelle,Énergie,74999,3,0.75,,,,
215,,Verband Kommunaler Unternehmen Österreichs (VKÖ),VKÖ,Autriche,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
216,9002547940-17,Wirtschaftsvereinigung Metalle (WVM),WVM,Allemagne,Association professionnelle,Matériaux,500000,11,3.75,,,,
217,9922252784-95,"Bundesverband Grosshandel, Aussenhandel, Dienstleistungen (BGA)",BGA,Allemagne,Association professionnelle,Intérêts privés,149999,7,4.5,,,,
218,171640811897-34,Deutsche Säge- und Holzindustrie (DeSH),DeSH,Allemagne,Association professionnelle,Matériaux,4999,9,8.75,,,,
219,089167355-44,Bundesverband deutscher Wohnungs- und Immobilienunternehmen,GdW,Allemagne,Association professionnelle,"Construction, immobilier, transports",149999,3,3.0,,OPPOSE,,OPPOSE
221,,Renewable UK,Renewable UK,Royaume-Uni,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
222,38589651649-14,European Federation of Energy Traders (EFET),EFET,Europe,Association professionnelle,Finance,449999,10,7.5,,,,
223,,Austropapier - Confederation of Austrian Pulp and Paper industries,Austropapier,Autriche,Association professionnelle,Matériaux,NaN,NaN,NaN,,,,
224,93038071152-83,EUROFER - European Steel Association,EUROFER,Europe,Association professionnelle,Matériaux,649999,8,2.5,,,,
225,18146381379-29,EPPSA - European Power Plant Suppliers Association,EPPSA,Europe,Association professionnelle,Énergie,149999,6,2.5,,,,
226,76130992074-15,GIE - Gas Infrastructure Europe,GIE,Europe,Entreprise,Énergie,1374999,6,6.0,SUPPORT,OPPOSE,SUPPORT,OPPOSE
227,157030317994-18,AEE - Spanish Wind Power Association,AEE,Espagne,Association professionnelle,Énergie (principalement renouvelable),10500,3,1.25,,,,
228,41802525291-86,IRU - International Road Transport Union,IRU,International,Association professionnelle,"Construction, immobilier, transports",449999,11,11.0,,,SUPPORT,
229,01873234294-62,EPAGMA - European Peat and Growing Media Association,EPAGMA,Europe,ONG,Énergie fossiles (sauf gaz),149999,6,2.25,,,,
230,0935153658-47,Union des Industries Chimiques - UIC,UIC,France,Syndicat,Industrie chimique,149999,5,2.0,,,,
231,,The Energy Partnership,The Energy Partnership,Europe,Association professionnelle,"Construction, immobilier, transports",NaN,NaN,NaN,,,,
232,,"Alliance of the Producers of Ecological Energy-BG, the Bulgarian Photovoltaic Association, the Bulgarian Wind Energy Association and the Romanian Photovoltaic Industry Association",SPEE-BG,Bulgarie,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
233,952322311484-70,EDSO - European Distribution System Operators' Association,EDSO for smart grids,Europe,Association professionnelle,Énergie,74999,2,0.5,,,,
234,,ASSOELETTRICA,Assoelettrica,Italie,Association professionnelle,Énergie,NaN,NaN,NaN,,,,
235,09586631237-74,COPA-COGECA,COPA-COGECA,Europe,Association professionnelle,Autres industries/intérêts,1124999,18,18.0,,,,
236,89093924456-06,IV - Federation of Austrian Industries,IV,Autriche,Association professionnelle,Intérêts privés,449999,10,3.5,,,,
237,264048311507-68,European Ocean Energy Association,EUOEA,Europe,Association professionnelle,Énergie,349999,5,5.0,,,,
238,98345631631-22,EURIMA - European Insulation Manufacturers Association,EURIMA,Europe,Association professionnelle,"Construction, immobilier, transports",149999,3,1.5,,,,
239,388419813370-85,Chance for Buildings,Chance for Buildings,République Tchèque,Association professionnelle,"Construction, immobilier, transports",249999,4,2.0,,,,
240,,Renewable Energy Austria,ReNew,Autriche,Association professionnelle,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
241,281120313987-31,IKEM - Innovation and Chemical Industries in Sweden,IKEM,Suède,Association professionnelle,Industrie chimique,100000,30,7.5,,,,
242,72279144480-58,Confederation of European Paper Industries,CEPI,Europe,Association professionnelle,Matériaux,549999,7,2.5,,,,
243,69382094718-43,CCSA - Carbon Capture and Storage Association,CCSA,Europe,Association professionnelle,Énergie fossiles (sauf gaz),37499,4,1.8,,,,
244,13457582538-68,Energy UK,Energy UK,Royaume-Uni,Association professionnelle,Énergie,120000,6,2.0,,,,
245,070444714545-60,"European Landowners' Association, European Property Federation, European Group of Valuers' Associations, European Historic Houses Association","ELo, EPF, TEGoVAn European Historic Houses",Europe,Association professionnelle,"Construction, immobilier, transports",74999,2,0.5,,SUPPORT,,
246,19153965510-75,EURO ALLIAGES - Association of European Ferro-Alloy Producers,Euroalliages,Europe,Association professionnelle,Matériaux,1124999,5,5.0,,,,
247,572064811767-22,European Panel Federation - EPF,EPF,Europe,Association professionnelle,Matériaux,249999,5,5.0,,,,
248,9089874181-55,AIE - European Association of Electrical Contractors,AIE,Europe,Syndicat,Énergie,74999,2,1.5,,SUPPORT,,SUPPORT
249,22400601191-42,DIHK - Deutscher Industrie- und Handelskammertag,DIHK,Allemagne,Association professionnelle,Intérêts privés,2698000,20,18.25,,,,
250,,Swedish Peat,STPF,Suède,Association professionnelle,Énergie fossiles (sauf gaz),NaN,NaN,NaN,,,,
252,13255254129-80,VNO-NCW and MKB,VNO-NCW and MKB,Pays-Bas,Association professionnelle,Intérêts privés,749999,8,7.75,,OPPOSE,,OPPOSE
253,,Polish Industrial Lobby,PLP,Pologne,Association professionnelle,Intérêts privés,NaN,NaN,NaN,,,,
254,06436048400-37,FECER (Fédération Européenne des Cadres de l'énergie),FECER,Europe,Syndicat,Intérêts privés,17499,2,0.5,SUPPORT,,,
255,084019910467-43,ECOHZ AS,ECOHZ,Europe,Entreprise,Énergie (principalement renouvelable),4999,1,0.25,,,,
256,225005818352-31,LAFARGE,Lafarge,France,Entreprise,Matériaux,149999,6,2.0,,,SUPPORT,
257,82041746393-10,Wienerberger AG,Wienerberger AG,Autriche,Entreprise,Matériaux,360000,4,1.75,,,,
258,52195525403-65,Novozymes,Novozymes,Danemark,Entreprise,Énergie (principalement renouvelable),549999,3,2.25,,,,
259,870817015429-80,DONG Energy,DONG Energy,Danemark,Entreprise,Énergie,549999,4,2.0,SUPPORT,SUPPORT,,SUPPORT
260,05233891201-35,First Solar GmbH,First Solar,États-Unis,Entreprise,Énergie (principalement renouvelable),349999,2,1.5,SUPPORT,SUPPORT,,SUPPORT
261,423266516181-19,Kingfisher PLC,Kingfisher,Royaume-Uni,Entreprise,Autres industries/intérêts,74999,15,6.0,,,,
262,46302264606-44,Schneider Electric,Schneider Electric,France,Entreprise,Énergie,549999,6,3.75,,SUPPORT,,SUPPORT
263,971446611568-25,Knauf Insulation,Knauf Insulation,Allemagne,Entreprise,"Construction, immobilier, transports",549999,10,3.5,SUPPORT,SUPPORT,,
264,837983310707-88,Project Developer Forum Ltd,PDF,International,Association professionnelle,Énergie,25000,NaN,NaN,,SUPPORT,,
266,76648765687-29,NASDAQ OMX,NASDAQ,États-Unis,Entreprise,Finance,449999,3,2.75,,,,
267,769186224869-06,VESTAS,Vestas,Danemark,Entreprise,Énergie (principalement renouvelable),4999,2,1.0,SUPPORT,SUPPORT,,SUPPORT
268,1095068839-59,IKEA,IKEA,Suède,Entreprise,Autres industries/intérêts,849999,6,6.0,OPPOSE,SUPPORT,,
271,72103751229-92,VEOLIA ENVIRONNEMENT,Veolia,France,Entreprise,Énergie,849999,9,7.0,,,,OPPOSE
273,423142010527-25,VELUX Group,Velux,Danemark,Entreprise,"Construction, immobilier, transports",249999,5,2.25,,,,
274,,ENERCON,ENERCON,Allemagne,Consultance,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
276,994651214997-44,GLOBAL WARNING,Global Warning,International,Consultance,"Recherche scientifique, expertise",4999,1,0.25,,,,
277,727725510117-60,Hermes Equity Ownership Services,Hermes- EOS,Royaume-Uni,Entreprise,Finance,NaN,NaN,NaN,SUPPORT,SUPPORT,,SUPPORT
278,,AS Management & Consulting Sàrl,AS Management & Consulting Sàrl,Luxembourg,Consultance,"Recherche scientifique, expertise",NaN,NaN,NaN,,,,SUPPORT
279,,RSA Insurance,RSA,Royaume-Uni,Entreprise,Finance,NaN,NaN,NaN,,,,
280,94274031992-65,OMV Aktiengesellschaft,OMV,Autriche,Entreprise,Énergie fossiles (sauf gaz),549999,2,2.0,,,,
281,43284012043-03,ALSTOM,Alstom,France,Entreprise,"Construction, immobilier, transports",249999,2,2.0,SUPPORT,SUPPORT,,SUPPORT
282,38235121060-73,Dow Chemical,DOW,États-Unis,Entreprise,Industrie chimique,2124999,10,5.5,,,,
283,,Drujba Glassworks S.A.,DRUJBA GLASSWORKS SA.,Bulgarie,Entreprise,Matériaux,NaN,NaN,NaN,,,,
284,,Steinzeug-Keramo GmbH,Steinzeug-Keramo,Allemagne,Entreprise,Matériaux,NaN,NaN,NaN,,,,
285,90705737862-82,Finnfjord AS,Finnfjord,Norvège,Entreprise,Matériaux,75000,NaN,NaN,,OPPOSE,,OPPOSE
286,,Recuperi Industriali S.r.l.,Recuperi Industriali s.r.l.,Italie,Entreprise,Matériaux,NaN,NaN,NaN,,,,
287,91425447458-88,3M,3M,États-Unis,Entreprise,Autres industries/intérêts,549999,5,2.25,SUPPORT,SUPPORT,,SUPPORT
288,289922721213-66,Wärtsilä,Wärtsilä,Finlande,Entreprise,Autres industries/intérêts,249999,4,1.0,,,,
289,,Vereniging Nederlandse Glasfabrikanten - VNG,VNG,Pays-Bas,Entité/autorité publique,Matériaux,NaN,NaN,NaN,,,,
290,,Wiegand-Glas,Wiegand-Glas,Allemagne,Entreprise,Matériaux,NaN,NaN,NaN,,,,
292,,Yioula Glassworks,Yioula Glassworks,Grèce,Entreprise,Matériaux,NaN,NaN,NaN,,,,
293,10257354120-19,Neste Oil Corporation,Neste Oil,Finlande,Entreprise,Énergie fossiles (sauf gaz),249999,4,3.25,,,,
294,45060553191-59,Hydro,Hydro,Norvège,Entreprise,Matériaux,549999,3,3.0,,,,OPPOSE
295,58089691185-94,SOLVAY,Solvay,Belgique,Entreprise,Industrie chimique,1374999,4,1.0,,,,
296,013755513854-45,Borealis AG,Borealis,Autriche,Association professionnelle,Énergie fossiles (sauf gaz),250000,1,1.0,,OPPOSE,SUPPORT,OPPOSE
297,519256623442-26,LKAB,LKAB,Suède,Entreprise,Énergie fossiles (sauf gaz),100000,3,1.5,OPPOSE,,SUPPORT,
298,36636102190-34,OBB,OBB,Autriche,Entreprise,"Construction, immobilier, transports",349999,2,1.5,,,,
299,82770116544-06,Westinghouse Electric,Westinghouse,États-Unis,Entreprise,Énergie,200000,3,1.0,SUPPORT,OPPOSE,,OPPOSE
300,721647010823-15,ThyssenKrupp,ThyssenKrupp AG,Allemagne,Entreprise,Matériaux,849999,4,3.25,,,,
301,962687110415-94,Metsä Group,Metsä,Finlande,Entreprise,Matériaux,74999,3,1.0,,OPPOSE,,OPPOSE
302,7410939793-88,BASF,BASF,Allemagne,Entreprise,Industrie chimique,3200000,19,11.8,,OPPOSE,SUPPORT,OPPOSE
303,138083013988-72,RHI,RHI,Autriche,Entreprise,Matériaux,37499,2,0.5,,,,
304,344826112965-44,INEOS,INEOS,Suisse,Entreprise,Industrie chimique,4999,25,6.25,,,,
305,192594214094-84,AIVE - Portuguese Container Glass Industry,AIVE,Portugal,Association professionnelle,Matériaux,4999,2,1.5,,,,
306,342012711453-30,ENEA Trading,Enea Trading,Pologne,Entreprise,Énergie,NaN,NaN,NaN,,,,
307,,RES Group,RES,Royaume-Uni,Entreprise,Énergie (principalement renouvelable),NaN,NaN,NaN,,,,
308,64436972598-17,SSE,SSE,Royaume-Uni,Entreprise,Énergie,149999,1,1.0,,SUPPORT,,SUPPORT
309,68134637922-07,ERDF,ERDF,France,Entreprise,Énergie,649999,4,1.0,,,,
310,41816938101-07,Iberdola,Iberdrola,Espagne,Entreprise,Énergie,549999,5,3.75,,OPPOSE,SUPPORT,OPPOSE
311,02430347902-54,Eneco,Eneco,Pays-Bas,Entreprise,Énergie (principalement renouvelable),4999,2,0.75,,,,
312,70816716119-36,PGNiG SA,PGNiG SA,Pologne,Entreprise,Énergie fossiles (sauf gaz),149999,8,5.25,,,,
313,17284292859-45,Stadtwerke München GmbH,SWM,Allemagne,Entreprise,Énergie,349999,1,1.0,,,,
314,352103717639-15,TVO,TVO,Finlande,Entreprise,Énergie,149999,3,0.75,,,,
